Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Average,Intermediate,Average,Not Interested,Beginner,Beginner,Average,Beginner,Not Interested,Not Interested,Beginner,Poor,Not Interested,Cyber Security Specialist
Not Interested,Intermediate,Poor,Intermediate,Not Interested,Average,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Poor,Technical Writer
Not Interested,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Average,Excellent,Average,Beginner,Excellent,Poor,Poor,Not Interested,Hardware Engineer
Not Interested,Not Interested,Beginner,Excellent,Not Interested,Beginner,Beginner,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Helpdesk Engineer
Poor,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Intermediate,Beginner,Average,Not Interested,Poor,Not Interested,Not Interested,AI ML Specialist
Excellent,Not Interested,Poor,Not Interested,Poor,Poor,Intermediate,Average,Intermediate,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Beginner,Poor,Poor,Beginner,Intermediate,Excellent,Intermediate,Excellent,Not Interested,Beginner,Intermediate,Beginner,Excellent,Beginner,Software Developer
Average,Poor,Not Interested,Not Interested,Intermediate,Average,Poor,Excellent,Poor,Intermediate,Beginner,Poor,Not Interested,Not Interested,Data Scientist
Average,Average,Not Interested,Not Interested,Intermediate,Average,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Not Interested,Average,Average,API Specialist
Beginner,Not Interested,Poor,Excellent,Poor,Beginner,Beginner,Average,Average,Not Interested,Average,Not Interested,Intermediate,Not Interested,Information Security Specialist
Beginner,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Average,Not Interested,Poor,Not Interested,Beginner,Not Interested,Technical Writer
Poor,Poor,Average,Intermediate,Beginner,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Networking Engineer
Average,Intermediate,Excellent,Intermediate,Beginner,Poor,Not Interested,Excellent,Poor,Poor,Beginner,Beginner,Beginner,Not Interested,Cyber Security Specialist
Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,Average,Poor,Intermediate,Not Interested,Beginner,Excellent,Excellent,Poor,Business Analyst
Excellent,Excellent,Average,Average,Average,Excellent,Beginner,Excellent,Average,Excellent,Intermediate,Intermediate,Poor,Poor,AI ML Specialist
Excellent,Intermediate,Average,Not Interested,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Intermediate,Intermediate,Excellent,Average,Data Scientist
Beginner,Not Interested,Beginner,Not Interested,Not Interested,Average,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Excellent,Excellent,Not Interested,Project Manager
Excellent,Beginner,Average,Average,Average,Poor,Poor,Intermediate,Beginner,Not Interested,Intermediate,Average,Excellent,Poor,Database Administrator
Beginner,Average,Not Interested,Excellent,Average,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,API Specialist
Not Interested,Not Interested,Beginner,Poor,Not Interested,Average,Excellent,Not Interested,Excellent,Poor,Average,Intermediate,Not Interested,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Intermediate,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Excellent,Graphics Designer
Beginner,Not Interested,Beginner,Not Interested,Beginner,Average,Beginner,Average,Beginner,Not Interested,Poor,Not Interested,Average,Not Interested,API Specialist
Average,Excellent,Intermediate,Excellent,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Average,Not Interested,Average,Not Interested,Networking Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Beginner,Average,Graphics Designer
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Not Interested,Poor,Average,Not Interested,Helpdesk Engineer
Beginner,Not Interested,Average,Intermediate,Not Interested,Beginner,Beginner,Beginner,Average,Not Interested,Average,Poor,Poor,Not Interested,Cyber Security Specialist
Beginner,Intermediate,Poor,Beginner,Not Interested,Poor,Not Interested,Beginner,Average,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Networking Engineer
Not Interested,Average,Excellent,Not Interested,Intermediate,Excellent,Average,Excellent,Average,Poor,Excellent,Average,Beginner,Poor,API Specialist
Poor,Beginner,Not Interested,Average,Excellent,Excellent,Beginner,Intermediate,Intermediate,Excellent,Beginner,Excellent,Average,Beginner,Data Scientist
Average,Average,Beginner,Not Interested,Intermediate,Intermediate,Poor,Excellent,Average,Intermediate,Beginner,Intermediate,Average,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Excellent,Poor,Average,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Average,Intermediate,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Average,Not Interested,Helpdesk Engineer
Not Interested,Poor,Not Interested,Not Interested,Excellent,Excellent,Beginner,Intermediate,Beginner,Beginner,Excellent,Not Interested,Not Interested,Poor,API Specialist
Not Interested,Not Interested,Average,Intermediate,Poor,Not Interested,Average,Excellent,Excellent,Poor,Excellent,Not Interested,Not Interested,Poor,Information Security Specialist
Beginner,Not Interested,Not Interested,Average,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Excellent,Not Interested,Helpdesk Engineer
Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Beginner,Beginner,Not Interested,Not Interested,Average,Average,Not Interested,Business Analyst
Poor,Not Interested,Beginner,Not Interested,Poor,Not Interested,Not Interested,Excellent,Not Interested,Poor,Intermediate,Intermediate,Beginner,Not Interested,Software Tester
Beginner,Beginner,Average,Poor,Average,Average,Not Interested,Excellent,Not Interested,Intermediate,Intermediate,Intermediate,Average,Poor,Data Scientist
Average,Beginner,Poor,Poor,Average,Intermediate,Beginner,Average,Not Interested,Beginner,Average,Average,Intermediate,Not Interested,Data Scientist
Not Interested,Beginner,Intermediate,Average,Excellent,Excellent,Beginner,Excellent,Not Interested,Beginner,Not Interested,Average,Not Interested,Poor,API Specialist
Intermediate,Poor,Not Interested,Beginner,Average,Average,Excellent,Intermediate,Intermediate,Not Interested,Average,Excellent,Excellent,Not Interested,Business Analyst
Average,Not Interested,Average,Beginner,Average,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Software Tester
Poor,Average,Beginner,Intermediate,Beginner,Poor,Average,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Excellent,Beginner,Helpdesk Engineer
Beginner,Poor,Not Interested,Beginner,Beginner,Beginner,Not Interested,Average,Intermediate,Not Interested,Beginner,Beginner,Intermediate,Not Interested,Application Support Engineer
Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Intermediate,Average,Not Interested,Average,Intermediate,Not Interested,Intermediate,Not Interested,Software Tester
Not Interested,Poor,Not Interested,Not Interested,Intermediate,Average,Poor,Excellent,Average,Average,Average,Average,Not Interested,Not Interested,Software Tester
Beginner,Excellent,Intermediate,Excellent,Poor,Excellent,Beginner,Excellent,Not Interested,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Networking Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Not Interested,Average,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Developer
Average,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Excellent,Poor,Poor,Intermediate,Not Interested,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Intermediate,Poor,Excellent,Intermediate,Excellent,Beginner,Average,Beginner,Not Interested,AI ML Specialist
Excellent,Beginner,Average,Average,Excellent,Intermediate,Excellent,Not Interested,Intermediate,Beginner,Intermediate,Excellent,Excellent,Beginner,Business Analyst
Not Interested,Poor,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Not Interested,Not Interested,Beginner,Intermediate,Graphics Designer
Intermediate,Not Interested,Beginner,Average,Beginner,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Poor,Poor,Not Interested,Database Administrator
Average,Intermediate,Intermediate,Average,Intermediate,Excellent,Beginner,Excellent,Intermediate,Excellent,Average,Average,Not Interested,Poor,Software Developer
Poor,Intermediate,Not Interested,Intermediate,Beginner,Beginner,Not Interested,Beginner,Beginner,Not Interested,Beginner,Beginner,Average,Not Interested,Networking Engineer
Poor,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Average,Not Interested,Beginner,Poor,Poor,Not Interested,Networking Engineer
Not Interested,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Excellent,Excellent,Poor,Not Interested,Not Interested,Excellent,Not Interested,Application Support Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Average,Beginner,Beginner,Excellent,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Software Tester
Intermediate,Not Interested,Beginner,Average,Not Interested,Not Interested,Average,Not Interested,Excellent,Not Interested,Average,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Poor,Not Interested,Beginner,Average,Intermediate,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,API Specialist
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Beginner,Intermediate,Poor,Beginner,Intermediate,Not Interested,Poor,Business Analyst
Poor,Poor,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Average,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Average,Average,Excellent,Not Interested,Average,Intermediate,Excellent,Average,Intermediate,Beginner,Beginner,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Intermediate,Intermediate,Excellent,Not Interested,Average,Poor,Poor,Software Developer
Beginner,Not Interested,Poor,Poor,Intermediate,Average,Poor,Intermediate,Not Interested,Poor,Intermediate,Not Interested,Excellent,Not Interested,Software Developer
Average,Average,Excellent,Average,Average,Beginner,Not Interested,Average,Average,Not Interested,Not Interested,Average,Not Interested,Poor,Information Security Specialist
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Average,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,Average,Poor,Beginner,Average,Average,Poor,Not Interested,Data Scientist
Not Interested,Not Interested,Poor,Average,Beginner,Beginner,Intermediate,Average,Intermediate,Poor,Beginner,Not Interested,Intermediate,Not Interested,Project Manager
Not Interested,Beginner,Beginner,Not Interested,Average,Excellent,Not Interested,Excellent,Average,Intermediate,Average,Beginner,Intermediate,Poor,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Average,Excellent,Not Interested,Excellent,Average,Not Interested,Poor,Average,Not Interested,Not Interested,API Specialist
Not Interested,Poor,Not Interested,Poor,Poor,Intermediate,Excellent,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Average,Not Interested,Business Analyst
Poor,Beginner,Excellent,Excellent,Poor,Beginner,Poor,Intermediate,Excellent,Not Interested,Beginner,Not Interested,Average,Beginner,Cyber Security Specialist
Beginner,Excellent,Intermediate,Excellent,Poor,Beginner,Beginner,Intermediate,Intermediate,Poor,Average,Poor,Average,Beginner,Networking Engineer
Not Interested,Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Average,Average,Average,Not Interested,Application Support Engineer
Intermediate,Not Interested,Excellent,Excellent,Not Interested,Average,Not Interested,Excellent,Excellent,Not Interested,Beginner,Poor,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Intermediate,Intermediate,Excellent,Excellent,Intermediate,Excellent,Not Interested,Average,Excellent,Not Interested,Intermediate,Beginner,Software Developer
Excellent,Excellent,Average,Beginner,Excellent,Excellent,Average,Excellent,Average,Excellent,Excellent,Intermediate,Average,Poor,Data Scientist
Beginner,Not Interested,Not Interested,Poor,Not Interested,Poor,Not Interested,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Technical Writer
Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Beginner,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Poor,Hardware Engineer
Not Interested,Poor,Beginner,Average,Intermediate,Excellent,Not Interested,Intermediate,Excellent,Not Interested,Average,Average,Excellent,Intermediate,API Specialist
Excellent,Beginner,Beginner,Beginner,Beginner,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Database Administrator
Not Interested,Beginner,Beginner,Beginner,Poor,Not Interested,Intermediate,Average,Intermediate,Not Interested,Intermediate,Not Interested,Intermediate,Not Interested,Technical Writer
Not Interested,Poor,Poor,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Intermediate,Not Interested,Helpdesk Engineer
Average,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Excellent,Poor,Not Interested,Beginner,Not Interested,Not Interested,Information Security Specialist
Intermediate,Beginner,Beginner,Poor,Not Interested,Beginner,Excellent,Not Interested,Excellent,Not Interested,Excellent,Intermediate,Average,Not Interested,Business Analyst
Excellent,Intermediate,Beginner,Not Interested,Intermediate,Not Interested,Beginner,Intermediate,Excellent,Beginner,Excellent,Not Interested,Intermediate,Not Interested,Database Administrator
Not Interested,Average,Average,Average,Excellent,Excellent,Beginner,Excellent,Intermediate,Not Interested,Intermediate,Beginner,Excellent,Beginner,Software Developer
Poor,Excellent,Average,Average,Not Interested,Intermediate,Not Interested,Excellent,Poor,Beginner,Average,Poor,Poor,Not Interested,Hardware Engineer
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Average,Poor,Not Interested,Excellent,Beginner,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Poor,Beginner,Average,Intermediate,Poor,Average,Not Interested,Not Interested,AI ML Specialist
Not Interested,Poor,Not Interested,Intermediate,Poor,Poor,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,Networking Engineer
Average,Not Interested,Poor,Average,Average,Excellent,Not Interested,Intermediate,Poor,Poor,Excellent,Average,Average,Not Interested,Software Tester
Average,Poor,Not Interested,Beginner,Average,Average,Not Interested,Average,Poor,Average,Beginner,Poor,Beginner,Beginner,AI ML Specialist
Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Poor,Poor,Poor,Not Interested,Not Interested,Average,Average,Excellent,Graphics Designer
Not Interested,Beginner,Beginner,Intermediate,Poor,Poor,Beginner,Average,Intermediate,Not Interested,Poor,Average,Excellent,Not Interested,Helpdesk Engineer
Poor,Intermediate,Intermediate,Excellent,Poor,Not Interested,Not Interested,Average,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Not Interested,Beginner,Not Interested,Beginner,Not Interested,Beginner,Intermediate,Intermediate,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Intermediate,Not Interested,Excellent,Average,Application Support Engineer
Poor,Not Interested,Not Interested,Not Interested,Poor,Average,Average,Beginner,Not Interested,Beginner,Beginner,Intermediate,Average,Poor,Software Tester
Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,Application Support Engineer
Average,Beginner,Not Interested,Not Interested,Average,Average,Poor,Excellent,Poor,Poor,Intermediate,Poor,Not Interested,Not Interested,Software Developer
Not Interested,Not Interested,Beginner,Poor,Beginner,Not Interested,Intermediate,Poor,Average,Not Interested,Beginner,Excellent,Intermediate,Beginner,Business Analyst
Average,Beginner,Intermediate,Poor,Excellent,Excellent,Not Interested,Average,Beginner,Average,Intermediate,Beginner,Not Interested,Average,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Beginner,Poor,Not Interested,Beginner,Average,Not Interested,Project Manager
Not Interested,Excellent,Beginner,Intermediate,Poor,Poor,Beginner,Intermediate,Average,Not Interested,Not Interested,Poor,Average,Not Interested,Networking Engineer
Not Interested,Poor,Not Interested,Not Interested,Average,Beginner,Poor,Average,Intermediate,Average,Beginner,Not Interested,Poor,Poor,Data Scientist
Beginner,Poor,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Average,Not Interested,Average,Beginner,Not Interested,Beginner,Poor,Data Scientist
Beginner,Not Interested,Not Interested,Poor,Average,Average,Beginner,Beginner,Average,Poor,Excellent,Beginner,Not Interested,Average,Software Tester
Beginner,Poor,Beginner,Poor,Beginner,Excellent,Beginner,Intermediate,Not Interested,Excellent,Poor,Intermediate,Average,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Beginner,Intermediate,Poor,Not Interested,Beginner,Excellent,Not Interested,Customer Service Executive
Beginner,Not Interested,Average,Not Interested,Intermediate,Not Interested,Poor,Average,Average,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Software Tester
Average,Beginner,Excellent,Intermediate,Average,Beginner,Beginner,Intermediate,Beginner,Not Interested,Poor,Not Interested,Poor,Not Interested,Cyber Security Specialist
Beginner,Not Interested,Poor,Poor,Beginner,Average,Not Interested,Intermediate,Excellent,Poor,Intermediate,Average,Beginner,Poor,Software Tester
Not Interested,Poor,Not Interested,Not Interested,Average,Intermediate,Poor,Average,Not Interested,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Developer
Beginner,Beginner,Beginner,Not Interested,Poor,Not Interested,Average,Beginner,Excellent,Beginner,Not Interested,Beginner,Excellent,Beginner,Customer Service Executive
Poor,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Average,Excellent,Not Interested,Poor,Not Interested,Excellent,Not Interested,Project Manager
Not Interested,Not Interested,Poor,Poor,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Average,Not Interested,Helpdesk Engineer
Beginner,Beginner,Beginner,Average,Excellent,Excellent,Poor,Excellent,Excellent,Not Interested,Beginner,Not Interested,Not Interested,Poor,Software Developer
Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Excellent,Intermediate,Excellent,Beginner,Beginner,Not Interested,Excellent,Poor,Project Manager
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Excellent,Poor,Excellent,Poor,Not Interested,Intermediate,Excellent,Not Interested,Project Manager
Poor,Beginner,Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Excellent,Not Interested,Not Interested,Average,Excellent,Not Interested,Customer Service Executive
Poor,Poor,Not Interested,Poor,Average,Average,Not Interested,Intermediate,Average,Not Interested,Excellent,Not Interested,Intermediate,Not Interested,Software Tester
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Poor,Average,Average,Average,Not Interested,Not Interested,Intermediate,Average,Not Interested,Business Analyst
Intermediate,Not Interested,Poor,Average,Beginner,Not Interested,Not Interested,Average,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Database Administrator
Beginner,Average,Average,Excellent,Average,Not Interested,Beginner,Excellent,Average,Not Interested,Poor,Poor,Beginner,Not Interested,Networking Engineer
Not Interested,Not Interested,Poor,Not Interested,Beginner,Not Interested,Excellent,Poor,Excellent,Not Interested,Poor,Average,Intermediate,Not Interested,Project Manager
Average,Not Interested,Average,Beginner,Intermediate,Beginner,Intermediate,Excellent,Intermediate,Average,Average,Excellent,Excellent,Poor,Business Analyst
Not Interested,Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Excellent,Average,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Software Developer
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Graphics Designer
Not Interested,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Average,Average,Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Hardware Engineer
Poor,Not Interested,Poor,Not Interested,Average,Average,Not Interested,Beginner,Beginner,Beginner,Average,Poor,Beginner,Not Interested,Data Scientist
Beginner,Not Interested,Poor,Not Interested,Average,Beginner,Poor,Average,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Tester
Beginner,Beginner,Beginner,Poor,Excellent,Average,Not Interested,Excellent,Beginner,Intermediate,Poor,Beginner,Beginner,Not Interested,Data Scientist
Average,Not Interested,Average,Intermediate,Excellent,Excellent,Beginner,Excellent,Excellent,Beginner,Not Interested,Average,Average,Not Interested,API Specialist
Beginner,Excellent,Intermediate,Intermediate,Not Interested,Intermediate,Beginner,Average,Average,Poor,Poor,Beginner,Average,Poor,Networking Engineer
Intermediate,Intermediate,Average,Beginner,Poor,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Poor,Application Support Engineer
Intermediate,Intermediate,Excellent,Intermediate,Average,Intermediate,Beginner,Excellent,Intermediate,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Information Security Specialist
Beginner,Average,Intermediate,Average,Poor,Beginner,Intermediate,Average,Excellent,Poor,Poor,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Intermediate,Average,Poor,Poor,Beginner,Intermediate,Beginner,Excellent,Average,Intermediate,Beginner,Average,Intermediate,Poor,Data Scientist
Not Interested,Excellent,Not Interested,Intermediate,Beginner,Not Interested,Poor,Intermediate,Beginner,Beginner,Intermediate,Poor,Average,Not Interested,Hardware Engineer
Excellent,Average,Average,Not Interested,Not Interested,Beginner,Beginner,Average,Average,Not Interested,Average,Beginner,Intermediate,Not Interested,Database Administrator
Average,Beginner,Average,Average,Intermediate,Average,Beginner,Average,Average,Average,Intermediate,Beginner,Average,Not Interested,Software Developer
Average,Not Interested,Average,Beginner,Excellent,Excellent,Not Interested,Excellent,Not Interested,Poor,Excellent,Not Interested,Intermediate,Not Interested,Software Tester
Excellent,Average,Excellent,Excellent,Beginner,Average,Beginner,Intermediate,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Intermediate,Excellent,Graphics Designer
Beginner,Beginner,Poor,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Helpdesk Engineer
Average,Excellent,Not Interested,Excellent,Average,Poor,Not Interested,Intermediate,Average,Not Interested,Average,Not Interested,Average,Not Interested,Networking Engineer
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Beginner,Customer Service Executive
Intermediate,Average,Beginner,Average,Beginner,Beginner,Poor,Beginner,Poor,Poor,Beginner,Poor,Intermediate,Beginner,Networking Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Beginner,Excellent,Not Interested,Not Interested,Excellent,Excellent,Not Interested,Project Manager
Intermediate,Not Interested,Poor,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Not Interested,Poor,Not Interested,Beginner,Not Interested,Database Administrator
Not Interested,Not Interested,Beginner,Excellent,Average,Not Interested,Excellent,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Excellent,Intermediate,Customer Service Executive
Not Interested,Not Interested,Poor,Poor,Poor,Average,Not Interested,Beginner,Beginner,Intermediate,Average,Beginner,Average,Beginner,Data Scientist
Beginner,Not Interested,Not Interested,Beginner,Excellent,Average,Average,Excellent,Beginner,Beginner,Not Interested,Average,Beginner,Not Interested,Software Developer
