Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Not Interested,Average,Intermediate,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Average,Not Interested,IT Support
Not Interested,Not Interested,Average,Intermediate,Poor,Not Interested,Average,Excellent,Excellent,Poor,Excellent,Not Interested,Not Interested,Poor,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Not Interested,Average,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Beginner,Beginner,Not Interested,Not Interested,Average,Average,Not Interested,Business Analyst
Poor,Not Interested,Beginner,Not Interested,Poor,Not Interested,Not Interested,Excellent,Not Interested,Poor,Intermediate,Intermediate,Beginner,Not Interested,Software Tester
Beginner,Beginner,Average,Poor,Average,Average,Not Interested,Excellent,Not Interested,Intermediate,Intermediate,Intermediate,Average,Poor,"Data Science, ML or AI"
Average,Beginner,Poor,Poor,Average,Intermediate,Beginner,Average,Not Interested,Beginner,Average,Average,Intermediate,Not Interested,"Data Science, ML or AI"
Intermediate,Poor,Not Interested,Beginner,Average,Average,Excellent,Intermediate,Intermediate,Not Interested,Average,Excellent,Excellent,Not Interested,Business Analyst
Average,Not Interested,Average,Beginner,Average,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Software Tester
Poor,Average,Beginner,Intermediate,Beginner,Poor,Average,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Excellent,Beginner,IT Support
Beginner,Poor,Not Interested,Beginner,Beginner,Beginner,Not Interested,Average,Intermediate,Not Interested,Beginner,Beginner,Intermediate,Not Interested,IT Support
Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Intermediate,Average,Not Interested,Average,Intermediate,Not Interested,Intermediate,Not Interested,Software Tester
Not Interested,Poor,Not Interested,Not Interested,Intermediate,Average,Poor,Excellent,Average,Average,Average,Average,Not Interested,Not Interested,Software Tester
Beginner,Excellent,Intermediate,Excellent,Poor,Excellent,Beginner,Excellent,Not Interested,Not Interested,Intermediate,Poor,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Not Interested,Average,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Engineer
Average,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Excellent,Poor,Poor,Intermediate,Not Interested,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Intermediate,Poor,Excellent,Intermediate,Excellent,Beginner,Average,Beginner,Not Interested,"Data Science, ML or AI"
Excellent,Beginner,Average,Average,Excellent,Intermediate,Excellent,Not Interested,Intermediate,Beginner,Intermediate,Excellent,Excellent,Beginner,Business Analyst
Not Interested,Poor,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Not Interested,Not Interested,Beginner,Intermediate,Frontend or Graphics Designer
Intermediate,Not Interested,Beginner,Average,Beginner,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Poor,Poor,Not Interested,Backend or databases
Average,Intermediate,Intermediate,Average,Intermediate,Excellent,Beginner,Excellent,Intermediate,Excellent,Average,Average,Not Interested,Poor,Software Engineer
Poor,Intermediate,Not Interested,Intermediate,Beginner,Beginner,Not Interested,Beginner,Beginner,Not Interested,Beginner,Beginner,Average,Not Interested,"Cyber Security, Administration or Networking"
Poor,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Average,Not Interested,Beginner,Poor,Poor,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Excellent,Excellent,Poor,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Not Interested,Average,Beginner,Beginner,Excellent,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Software Tester
Intermediate,Not Interested,Beginner,Average,Not Interested,Not Interested,Average,Not Interested,Excellent,Not Interested,Average,Not Interested,Excellent,Not Interested,IT Support
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Beginner,Intermediate,Poor,Beginner,Intermediate,Not Interested,Poor,Business Analyst
Poor,Poor,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Not Interested,Not Interested,Average,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Average,Average,Excellent,Not Interested,Average,Intermediate,Excellent,Average,Intermediate,Beginner,Beginner,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Intermediate,Intermediate,Excellent,Not Interested,Average,Poor,Poor,Software Engineer
Beginner,Not Interested,Poor,Poor,Intermediate,Average,Poor,Intermediate,Not Interested,Poor,Intermediate,Not Interested,Excellent,Not Interested,Software Engineer
Average,Average,Excellent,Average,Average,Beginner,Not Interested,Average,Average,Not Interested,Not Interested,Average,Not Interested,Poor,"Cyber Security, Administration or Networking"
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Average,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,Average,Poor,Beginner,Average,Average,Poor,Not Interested,"Data Science, ML or AI"
Not Interested,Beginner,Beginner,Not Interested,Average,Excellent,Not Interested,Excellent,Average,Intermediate,Average,Beginner,Intermediate,Poor,"Data Science, ML or AI"
Not Interested,Poor,Not Interested,Poor,Poor,Intermediate,Excellent,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Average,Not Interested,Business Analyst
Poor,Beginner,Excellent,Excellent,Poor,Beginner,Poor,Intermediate,Excellent,Not Interested,Beginner,Not Interested,Average,Beginner,"Cyber Security, Administration or Networking"
Beginner,Excellent,Intermediate,Excellent,Poor,Beginner,Beginner,Intermediate,Intermediate,Poor,Average,Poor,Average,Beginner,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Average,Average,Average,Not Interested,IT Support
Intermediate,Not Interested,Excellent,Excellent,Not Interested,Average,Not Interested,Excellent,Excellent,Not Interested,Beginner,Poor,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Excellent,Intermediate,Intermediate,Excellent,Excellent,Intermediate,Excellent,Not Interested,Average,Excellent,Not Interested,Intermediate,Beginner,Software Engineer
Excellent,Excellent,Average,Beginner,Excellent,Excellent,Average,Excellent,Average,Excellent,Excellent,Intermediate,Average,Poor,"Data Science, ML or AI"
Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Beginner,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Poor,Hardware Engineer
Excellent,Beginner,Beginner,Beginner,Beginner,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Backend or databases
Not Interested,Poor,Poor,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Intermediate,Not Interested,IT Support
Average,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Excellent,Poor,Not Interested,Beginner,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Intermediate,Beginner,Beginner,Poor,Not Interested,Beginner,Excellent,Not Interested,Excellent,Not Interested,Excellent,Intermediate,Average,Not Interested,Business Analyst
Excellent,Intermediate,Beginner,Not Interested,Intermediate,Not Interested,Beginner,Intermediate,Excellent,Beginner,Excellent,Not Interested,Intermediate,Not Interested,Backend or databases
Not Interested,Average,Average,Average,Excellent,Excellent,Beginner,Excellent,Intermediate,Not Interested,Intermediate,Beginner,Excellent,Beginner,Software Engineer
Poor,Excellent,Average,Average,Not Interested,Intermediate,Not Interested,Excellent,Poor,Beginner,Average,Poor,Poor,Not Interested,Hardware Engineer
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Average,Poor,Not Interested,Excellent,Beginner,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Poor,Beginner,Average,Intermediate,Poor,Average,Not Interested,Not Interested,"Data Science, ML or AI"
Not Interested,Poor,Not Interested,Intermediate,Poor,Poor,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Poor,Average,Average,Excellent,Not Interested,Intermediate,Poor,Poor,Excellent,Average,Average,Not Interested,Software Tester
Average,Poor,Not Interested,Beginner,Average,Average,Not Interested,Average,Poor,Average,Beginner,Poor,Beginner,Beginner,"Data Science, ML or AI"
Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Poor,Poor,Poor,Not Interested,Not Interested,Average,Average,Excellent,Frontend or Graphics Designer
Not Interested,Beginner,Beginner,Intermediate,Poor,Poor,Beginner,Average,Intermediate,Not Interested,Poor,Average,Excellent,Not Interested,IT Support
Poor,Intermediate,Intermediate,Excellent,Poor,Not Interested,Not Interested,Average,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Not Interested,Beginner,Not Interested,Beginner,Intermediate,Intermediate,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Intermediate,Not Interested,Excellent,Average,IT Support
Poor,Not Interested,Not Interested,Not Interested,Poor,Average,Average,Beginner,Not Interested,Beginner,Beginner,Intermediate,Average,Poor,Software Tester
Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,IT Support
Average,Beginner,Not Interested,Not Interested,Average,Average,Poor,Excellent,Poor,Poor,Intermediate,Poor,Not Interested,Not Interested,Software Engineer
Not Interested,Not Interested,Beginner,Poor,Beginner,Not Interested,Intermediate,Poor,Average,Not Interested,Beginner,Excellent,Intermediate,Beginner,Business Analyst
Average,Beginner,Intermediate,Poor,Excellent,Excellent,Not Interested,Average,Beginner,Average,Intermediate,Beginner,Not Interested,Average,Software Engineer
Not Interested,Excellent,Beginner,Intermediate,Poor,Poor,Beginner,Intermediate,Average,Not Interested,Not Interested,Poor,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Poor,Not Interested,Not Interested,Average,Beginner,Poor,Average,Intermediate,Average,Beginner,Not Interested,Poor,Poor,"Data Science, ML or AI"
Beginner,Poor,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Average,Not Interested,Average,Beginner,Not Interested,Beginner,Poor,"Data Science, ML or AI"
Beginner,Not Interested,Not Interested,Poor,Average,Average,Beginner,Beginner,Average,Poor,Excellent,Beginner,Not Interested,Average,Software Tester
Beginner,Poor,Beginner,Poor,Beginner,Excellent,Beginner,Intermediate,Not Interested,Excellent,Poor,Intermediate,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Beginner,Intermediate,Poor,Not Interested,Beginner,Excellent,Not Interested,IT Support
Beginner,Not Interested,Average,Not Interested,Intermediate,Not Interested,Poor,Average,Average,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Software Tester
Average,Beginner,Excellent,Intermediate,Average,Beginner,Beginner,Intermediate,Beginner,Not Interested,Poor,Not Interested,Poor,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Poor,Poor,Beginner,Average,Not Interested,Intermediate,Excellent,Poor,Intermediate,Average,Beginner,Poor,Software Tester
Not Interested,Poor,Not Interested,Not Interested,Average,Intermediate,Poor,Average,Not Interested,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Engineer
Beginner,Beginner,Beginner,Not Interested,Poor,Not Interested,Average,Beginner,Excellent,Beginner,Not Interested,Beginner,Excellent,Beginner,IT Support
Not Interested,Not Interested,Poor,Poor,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Average,Not Interested,IT Support
Beginner,Beginner,Beginner,Average,Excellent,Excellent,Poor,Excellent,Excellent,Not Interested,Beginner,Not Interested,Not Interested,Poor,Software Engineer
Poor,Beginner,Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Excellent,Not Interested,Not Interested,Average,Excellent,Not Interested,IT Support
Poor,Poor,Not Interested,Poor,Average,Average,Not Interested,Intermediate,Average,Not Interested,Excellent,Not Interested,Intermediate,Not Interested,Software Tester
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Poor,Average,Average,Average,Not Interested,Not Interested,Intermediate,Average,Not Interested,Business Analyst
Intermediate,Not Interested,Poor,Average,Beginner,Not Interested,Not Interested,Average,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Backend or databases
Beginner,Average,Average,Excellent,Average,Not Interested,Beginner,Excellent,Average,Not Interested,Poor,Poor,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Average,Beginner,Intermediate,Beginner,Intermediate,Excellent,Intermediate,Average,Average,Excellent,Excellent,Poor,Business Analyst
Not Interested,Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Excellent,Average,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Frontend or Graphics Designer
Not Interested,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Average,Average,Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Hardware Engineer
Poor,Not Interested,Poor,Not Interested,Average,Average,Not Interested,Beginner,Beginner,Beginner,Average,Poor,Beginner,Not Interested,"Data Science, ML or AI"
Beginner,Not Interested,Poor,Not Interested,Average,Beginner,Poor,Average,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,Software Tester
Beginner,Beginner,Beginner,Poor,Excellent,Average,Not Interested,Excellent,Beginner,Intermediate,Poor,Beginner,Beginner,Not Interested,"Data Science, ML or AI"
Beginner,Excellent,Intermediate,Intermediate,Not Interested,Intermediate,Beginner,Average,Average,Poor,Poor,Beginner,Average,Poor,"Cyber Security, Administration or Networking"
Intermediate,Intermediate,Average,Beginner,Poor,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Poor,IT Support
Intermediate,Intermediate,Excellent,Intermediate,Average,Intermediate,Beginner,Excellent,Intermediate,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Average,Intermediate,Average,Poor,Beginner,Intermediate,Average,Excellent,Poor,Poor,Not Interested,Excellent,Not Interested,IT Support
Intermediate,Average,Poor,Poor,Beginner,Intermediate,Beginner,Excellent,Average,Intermediate,Beginner,Average,Intermediate,Poor,"Data Science, ML or AI"
Not Interested,Excellent,Not Interested,Intermediate,Beginner,Not Interested,Poor,Intermediate,Beginner,Beginner,Intermediate,Poor,Average,Not Interested,Hardware Engineer
Excellent,Average,Average,Not Interested,Not Interested,Beginner,Beginner,Average,Average,Not Interested,Average,Beginner,Intermediate,Not Interested,Backend or databases
Average,Beginner,Average,Average,Intermediate,Average,Beginner,Average,Average,Average,Intermediate,Beginner,Average,Not Interested,Software Engineer
Average,Not Interested,Average,Beginner,Excellent,Excellent,Not Interested,Excellent,Not Interested,Poor,Excellent,Not Interested,Intermediate,Not Interested,Software Tester
Excellent,Average,Excellent,Excellent,Beginner,Average,Beginner,Intermediate,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Intermediate,Excellent,Frontend or Graphics Designer
Beginner,Beginner,Poor,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,IT Support
Average,Excellent,Not Interested,Excellent,Average,Poor,Not Interested,Intermediate,Average,Not Interested,Average,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Beginner,IT Support
Intermediate,Average,Beginner,Average,Beginner,Beginner,Poor,Beginner,Poor,Poor,Beginner,Poor,Intermediate,Beginner,"Cyber Security, Administration or Networking"
Intermediate,Not Interested,Poor,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Not Interested,Poor,Not Interested,Beginner,Not Interested,Backend or databases
Not Interested,Not Interested,Beginner,Excellent,Average,Not Interested,Excellent,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Excellent,Intermediate,IT Support
Not Interested,Not Interested,Poor,Poor,Poor,Average,Not Interested,Beginner,Beginner,Intermediate,Average,Beginner,Average,Beginner,"Data Science, ML or AI"
Beginner,Not Interested,Not Interested,Beginner,Excellent,Average,Average,Excellent,Beginner,Beginner,Not Interested,Average,Beginner,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Poor,Excellent,Not Interested,Excellent,Not Interested,Beginner,Excellent,Excellent,Poor,Business Analyst
Not Interested,Intermediate,Average,Excellent,Beginner,Beginner,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,Hardware Engineer
Not Interested,Average,Intermediate,Excellent,Beginner,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Average,Beginner,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Poor,Beginner,Poor,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Hardware Engineer
Not Interested,Intermediate,Not Interested,Average,Not Interested,Poor,Average,Average,Poor,Poor,Not Interested,Not Interested,Poor,Not Interested,Hardware Engineer
Beginner,Excellent,Excellent,Excellent,Beginner,Average,Poor,Excellent,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Poor,Excellent,Not Interested,Not Interested,Poor,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Poor,IT Support
Beginner,Poor,Poor,Not Interested,Beginner,Poor,Average,Average,Excellent,Not Interested,Not Interested,Beginner,Intermediate,Beginner,IT Support
Intermediate,Average,Excellent,Excellent,Beginner,Excellent,Average,Excellent,Not Interested,Not Interested,Poor,Poor,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Average,Not Interested,Beginner,Intermediate,Excellent,Not Interested,Average,Average,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Software Engineer
Not Interested,Average,Excellent,Excellent,Beginner,Beginner,Beginner,Excellent,Intermediate,Poor,Average,Not Interested,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Average,Excellent,Intermediate,Not Interested,Average,Not Interested,Excellent,Excellent,Poor,Not Interested,Intermediate,Excellent,Not Interested,Backend or databases
Not Interested,Not Interested,Beginner,Poor,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Not Interested,IT Support
Intermediate,Average,Average,Average,Beginner,Poor,Not Interested,Average,Average,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Backend or databases
Average,Average,Intermediate,Beginner,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Not Interested,Average,Beginner,Average,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Beginner,Not Interested,Not Interested,Average,Beginner,Excellent,Frontend or Graphics Designer
Intermediate,Average,Not Interested,Not Interested,Average,Intermediate,Not Interested,Intermediate,Beginner,Excellent,Not Interested,Beginner,Beginner,Not Interested,"Data Science, ML or AI"
Not Interested,Average,Beginner,Not Interested,Not Interested,Excellent,Poor,Intermediate,Not Interested,Excellent,Intermediate,Average,Not Interested,Not Interested,"Data Science, ML or AI"
Poor,Average,Not Interested,Beginner,Average,Poor,Poor,Intermediate,Poor,Poor,Intermediate,Beginner,Poor,Not Interested,Software Tester
Not Interested,Intermediate,Not Interested,Beginner,Poor,Average,Average,Intermediate,Beginner,Not Interested,Beginner,Poor,Beginner,Not Interested,Hardware Engineer
